date,p1CharCode,p2CharCode,winner 
08-25 07:02:53,2,13,1
08-25 07:02:49,14,7,2
08-25 07:02:43,8,15,1
08-25 07:02:38,3,4,1
08-25 07:02:36,13,10,2
08-25 07:02:34,1,4,2
08-25 07:02:34,14,0,2
08-25 07:02:33,0,15,2
08-25 07:02:32,9,9,2
08-25 07:02:30,0,3,1
08-25 07:02:28,0,2,1
08-25 07:02:28,11,8,1
08-25 07:02:27,3,4,1
08-25 07:02:25,2,13,1
08-25 07:02:21,9,7,2
08-25 07:02:20,3,4,1
08-25 07:02:17,1,10,1
08-25 07:02:17,13,7,1
08-25 07:02:17,8,5,2
08-25 07:02:16,10,15,2
08-25 07:02:16,10,12,2
08-25 07:02:16,3,5,2
08-25 07:02:11,11,0,1
08-25 07:02:11,14,7,2
08-25 07:02:07,11,14,1
08-25 07:01:56,5,12,1
08-25 07:01:54,5,11,1
08-25 07:01:54,7,1,1
08-25 07:01:52,2,2,1
08-25 07:01:52,11,2,2
08-25 07:01:52,12,7,2
08-25 07:01:49,8,5,2
08-25 07:01:48,7,1,2
08-25 07:01:44,2,1,2
08-25 07:01:44,13,4,2
08-25 07:01:40,8,11,1
08-25 07:01:39,7,5,1
08-25 07:01:38,9,1,1
08-25 07:01:38,1,12,1
08-25 07:01:37,8,8,1
08-25 07:01:34,12,14,1
08-25 07:01:34,2,11,2
08-25 07:01:26,2,0,2
08-25 07:01:24,13,1,1
08-25 07:01:23,0,11,2
08-25 07:01:22,12,0,1
08-25 07:01:22,9,2,2
08-25 07:01:14,2,10,2
08-25 07:01:12,1,4,2
08-25 07:01:05,7,12,2
08-25 07:01:04,9,15,2
08-25 07:00:59,5,2,1
08-25 07:00:59,10,8,2
08-25 07:00:57,10,12,1
08-25 07:00:52,3,5,2
08-25 07:00:49,14,0,2
08-25 07:00:47,15,4,1
08-25 07:00:46,0,15,1
08-25 07:00:42,0,3,1
08-25 07:00:38,11,2,1
08-25 07:00:38,10,9,2
08-25 07:00:37,15,5,2
08-25 07:00:36,11,8,1
08-25 07:00:36,15,9,2
08-25 07:00:35,5,11,2
08-25 07:00:35,0,7,2
08-25 07:00:35,9,14,2
08-25 07:00:33,10,3,2
08-25 07:00:33,3,4,1
08-25 07:00:32,11,9,1
08-25 07:00:29,0,2,2
08-25 07:00:27,11,1,1
08-25 07:00:26,0,14,1
08-25 07:00:26,13,10,1
08-25 07:00:26,10,1,1
08-25 07:00:24,3,14,1
08-25 07:00:18,5,12,1
08-25 07:00:17,8,5,2
08-25 07:00:17,14,7,1
08-25 07:00:17,1,11,2
08-25 07:00:16,12,2,2
08-25 07:00:12,9,9,2
08-25 07:00:10,7,1,2
08-25 07:00:09,11,14,2
08-25 07:00:02,3,4,1
08-25 07:00:02,3,4,1
08-25 07:00:00,9,7,1
08-25 06:59:59,14,9,2
08-25 06:59:57,2,1,2
08-25 06:59:57,9,1,1
08-25 06:59:55,12,7,2
08-25 06:59:51,14,7,1
08-25 06:59:50,7,1,1
08-25 06:59:44,10,15,2
08-25 06:59:40,2,11,2
08-25 06:59:39,13,4,2
08-25 06:59:38,2,6,1
08-25 06:59:38,7,1,1
08-25 06:59:37,2,0,2
08-25 06:59:37,0,12,2
08-25 06:59:34,11,7,1
08-25 06:59:31,1,4,1
08-25 06:59:28,1,10,2
08-25 06:59:23,2,5,2
08-25 06:59:23,0,11,2
08-25 06:59:20,8,8,1
08-25 06:59:20,15,9,1
08-25 06:59:17,15,4,2
08-25 06:59:16,2,10,2
08-25 06:59:12,1,10,1
08-25 06:59:11,15,5,2
08-25 06:59:09,9,15,2
08-25 06:59:06,14,0,1
08-25 06:59:05,7,12,2
08-25 06:59:01,11,0,1
08-25 06:58:58,11,9,1
08-25 06:58:57,1,11,2
08-25 06:58:56,9,9,2
08-25 06:58:55,11,8,1
08-25 06:58:52,12,1,1
08-25 06:58:51,9,2,2
08-25 06:58:47,2,11,1
08-25 06:58:46,5,14,2
08-25 06:58:44,5,12,2
08-25 06:58:41,10,9,2
08-25 06:58:37,0,15,2
08-25 06:58:36,13,7,1
08-25 06:58:34,10,12,1
08-25 06:58:31,11,14,1
08-25 06:58:28,2,13,1
08-25 06:58:25,13,4,2
08-25 06:58:24,3,5,2
08-25 06:58:23,2,11,1
08-25 06:58:22,0,3,2
08-25 06:58:21,12,2,1
08-25 06:58:19,5,1,2
08-25 06:58:17,10,9,2
08-25 06:58:16,0,7,2
08-25 06:58:15,14,2,1
08-25 06:58:14,3,4,2
08-25 06:58:13,9,14,2
08-25 06:58:13,1,12,2
08-25 06:58:12,3,4,1
08-25 06:58:12,10,8,2
08-25 06:58:11,10,3,2
08-25 06:58:08,0,14,2
08-25 06:58:08,14,7,1
08-25 06:58:04,14,7,2
08-25 06:58:03,7,1,1
08-25 06:57:59,2,5,2
08-25 06:57:58,14,14,2
08-25 06:57:57,8,5,1
08-25 06:57:56,7,1,1
08-25 06:57:54,11,1,1
08-25 06:57:52,10,1,1
08-25 06:57:51,12,7,2
08-25 06:57:51,11,0,2
08-25 06:57:47,15,9,1
08-25 06:57:46,7,1,1
08-25 06:57:45,5,11,1
08-25 06:57:43,1,11,2
08-25 06:57:42,2,13,2
08-25 06:57:36,12,2,2
08-25 06:57:36,3,14,2
08-25 06:57:35,2,1,1
08-25 06:57:34,1,10,1
08-25 06:57:33,8,15,1
08-25 06:57:32,9,9,2
08-25 06:57:30,8,2,2
08-25 06:57:24,0,4,2
08-25 06:57:24,15,5,2
08-25 06:57:20,0,11,1
08-25 06:57:17,11,7,1
08-25 06:57:16,14,0,2
08-25 06:57:14,10,3,2
08-25 06:57:14,9,7,2
08-25 06:57:09,13,1,1
08-25 06:57:08,0,12,2
08-25 06:57:08,11,9,1
08-25 06:57:06,10,9,2
08-25 06:57:05,8,12,1
08-25 06:57:01,2,6,2
08-25 06:56:59,11,8,2
08-25 06:56:57,13,4,1
08-25 06:56:52,5,11,2
08-25 06:56:49,3,5,2
08-25 06:56:48,0,3,2
08-25 06:56:45,10,13,1
08-25 06:56:40,1,10,2
08-25 06:56:39,5,1,2
08-25 06:56:38,9,14,2
08-25 06:56:37,2,0,2
08-25 06:56:36,2,13,2
08-25 06:56:32,14,11,1
08-25 06:56:32,2,14,2
08-25 06:56:31,15,0,1
08-25 06:56:27,8,8,1
08-25 06:56:23,2,11,2
08-25 06:56:21,10,1,1
08-25 06:56:16,10,8,2
08-25 06:56:16,13,4,2
08-25 06:56:15,0,9,1
08-25 06:56:13,10,5,1
08-25 06:56:13,5,14,2
08-25 06:56:12,11,0,2
08-25 06:56:11,9,2,1
08-25 06:56:10,11,9,1
08-25 06:56:05,11,1,2
08-25 06:56:04,13,7,1
08-25 06:56:03,11,9,2
08-25 06:56:00,12,2,1
08-25 06:55:50,5,11,2
08-25 06:55:50,12,1,1
08-25 06:55:49,14,7,1
08-25 06:55:48,2,6,2
08-25 06:55:45,1,12,1
08-25 06:55:41,0,14,1
08-25 06:55:39,15,9,2
08-25 06:55:38,1,4,2
08-25 06:55:38,14,0,2
08-25 06:55:37,6,10,1
08-25 06:55:36,8,15,1
08-25 06:55:30,14,14,2
08-25 06:55:28,13,1,1
08-25 06:55:27,10,9,1
08-25 06:55:23,12,1,2
08-25 06:55:22,2,6,2
08-25 06:55:17,0,12,2
08-25 06:55:16,14,7,2
08-25 06:55:15,1,11,2
08-25 06:55:11,15,1,1
08-25 06:55:08,8,12,2
08-25 06:55:06,13,4,2
08-25 06:55:02,9,7,2
08-25 06:55:00,3,5,2
08-25 06:54:59,1,10,1
08-25 06:54:59,1,15,2
08-25 06:54:57,10,13,2
08-25 06:54:55,7,11,1
08-25 06:54:55,2,1,2
08-25 06:54:53,2,13,2
08-25 06:54:53,2,7,2
08-25 06:54:50,15,0,2
08-25 06:54:50,4,10,2
08-25 06:54:46,10,3,1
08-25 06:54:44,8,2,1
08-25 06:54:43,9,3,2
08-25 06:54:42,11,7,1
08-25 06:54:38,8,8,2
08-25 06:54:37,0,11,2
08-25 06:54:36,5,1,2
08-25 06:54:36,5,11,2
08-25 06:54:34,11,13,1
08-25 06:54:33,13,7,1
08-25 06:54:28,0,9,1
08-25 06:54:28,2,14,1
08-25 06:54:25,5,11,1
08-25 06:54:25,11,5,1
08-25 06:54:25,2,0,2
08-25 06:54:24,13,1,1
08-25 06:54:23,11,8,1
08-25 06:54:22,7,1,1
08-25 06:54:21,5,14,2
08-25 06:54:18,2,11,1
08-25 06:54:18,11,9,2
08-25 06:54:16,14,0,1
08-25 06:54:16,11,0,2
08-25 06:54:15,10,5,1
08-25 06:54:12,10,9,1
08-25 06:54:12,8,5,1
08-25 06:54:10,15,9,2
08-25 06:54:09,11,15,1
08-25 06:54:07,0,3,1
08-25 06:54:07,10,1,1
08-25 06:54:02,13,4,2
08-25 06:54:01,11,1,2
08-25 06:54:01,6,10,1
08-25 06:53:59,2,6,2
08-25 06:53:50,12,1,1
08-25 06:53:48,14,11,2
08-25 06:53:45,1,4,2
08-25 06:53:43,12,2,1
08-25 06:53:42,9,2,2
08-25 06:53:39,2,5,1
08-25 06:53:35,14,7,2
08-25 06:53:22,2,1,2
08-25 06:53:19,1,11,2
08-25 06:53:17,14,14,1
08-25 06:53:15,7,12,2
08-25 06:53:13,7,14,2
08-25 06:53:12,14,7,2
08-25 06:53:12,11,12,1
08-25 06:53:10,2,7,2
08-25 06:53:09,11,15,1
08-25 06:53:04,7,2,1
08-25 06:53:04,13,7,1
08-25 06:53:03,5,11,2
08-25 06:53:02,8,2,2
08-25 06:53:01,10,13,1
08-25 06:53:00,12,1,1
08-25 06:53:00,9,14,1
08-25 06:52:58,0,11,2
08-25 06:52:57,1,12,2
08-25 06:52:55,10,9,2
08-25 06:52:55,0,9,2
08-25 06:52:55,0,9,1
08-25 06:52:55,1,5,1
08-25 06:52:53,10,8,2
08-25 06:52:47,5,11,1
08-25 06:52:47,5,1,2
08-25 06:52:43,11,14,1
08-25 06:52:41,11,7,2
08-25 06:52:39,4,12,1
08-25 06:52:38,0,12,1
08-25 06:52:36,15,1,2
08-25 06:52:36,15,0,1
08-25 06:52:36,11,9,2
08-25 06:52:31,11,13,2
08-25 06:52:26,9,3,2
08-25 06:52:25,11,2,2
08-25 06:52:25,2,11,1
08-25 06:52:25,7,9,2
08-25 06:52:23,13,14,1
08-25 06:52:22,13,2,1
08-25 06:52:19,3,12,2
08-25 06:52:19,10,1,1
08-25 06:52:11,2,14,1
08-25 06:52:11,11,5,2
08-25 06:52:10,3,5,2
08-25 06:52:01,14,14,2
08-25 06:52:00,10,3,2
08-25 06:51:59,9,11,1
08-25 06:51:58,2,6,2
08-25 06:51:56,14,0,1
08-25 06:51:55,0,3,2
08-25 06:51:53,11,15,2
08-25 06:51:51,4,10,2
08-25 06:51:50,15,9,1
08-25 06:51:49,4,13,2
08-25 06:51:44,10,1,2
08-25 06:51:44,14,7,2
08-25 06:51:43,8,8,1
08-25 06:51:41,5,14,2
08-25 06:51:34,7,5,2
08-25 06:51:34,7,1,1
08-25 06:51:33,6,10,1
08-25 06:51:33,11,1,2
08-25 06:51:32,1,11,2
08-25 06:51:30,1,4,2
08-25 06:51:29,7,12,2
08-25 06:51:26,9,3,2
08-25 06:51:23,8,5,1
08-25 06:51:21,14,11,1
08-25 06:51:13,10,9,1
08-25 06:51:12,3,5,1
08-25 06:51:07,12,2,1
08-25 06:51:04,11,0,1
08-25 06:51:02,5,10,2
08-25 06:51:01,12,1,1
08-25 06:50:57,11,2,1
08-25 06:50:57,11,5,2
08-25 06:50:54,1,8,1
08-25 06:50:52,7,14,2
08-25 06:50:50,11,12,1
08-25 06:50:49,2,5,2
08-25 06:50:48,11,8,1
08-25 06:50:47,11,13,2
08-25 06:50:46,14,7,1
08-25 06:50:39,0,11,2
08-25 06:50:35,0,9,2
08-25 06:50:35,12,9,1
08-25 06:50:34,0,12,1
08-25 06:50:33,13,9,1
08-25 06:50:30,2,9,2
08-25 06:50:28,4,10,2
08-25 06:50:27,10,8,2
08-25 06:50:26,11,14,1
08-25 06:50:24,5,1,1
08-25 06:50:23,7,9,1
08-25 06:50:13,5,11,2
08-25 06:50:10,11,7,2
08-25 06:50:07,7,2,1
08-25 06:50:07,10,1,2
08-25 06:50:06,9,14,2
08-25 06:50:06,9,2,2
08-25 06:50:03,7,5,2
08-25 06:49:58,15,0,1
08-25 06:49:56,11,1,1
08-25 06:49:53,5,14,2
08-25 06:49:52,2,7,2
08-25 06:49:50,12,10,2
08-25 06:49:48,7,8,2
08-25 06:49:47,9,11,2
08-25 06:49:43,3,5,2
08-25 06:49:39,2,1,2
08-25 06:49:38,4,13,1
08-25 06:49:36,13,7,1
08-25 06:49:35,14,15,1
08-25 06:49:30,2,5,1
08-25 06:49:27,2,11,2
08-25 06:49:22,14,7,2
08-25 06:49:21,8,5,1
08-25 06:49:20,5,12,1
08-25 06:49:18,10,3,2
08-25 06:49:15,1,8,1
08-25 06:49:13,15,11,1
08-25 06:49:13,11,14,1
08-25 06:49:10,11,2,1
08-25 06:49:10,11,12,1
08-25 06:49:08,10,1,1
08-25 06:49:08,13,9,2
08-25 06:49:07,13,14,2
08-25 06:49:07,15,9,1
08-25 06:49:04,7,1,1
08-25 06:49:04,6,10,2
08-25 06:49:01,14,14,1
08-25 06:49:00,3,5,2
08-25 06:48:58,9,15,1
08-25 06:48:58,9,1,2
08-25 06:48:57,5,5,1
08-25 06:48:57,2,9,2
08-25 06:48:56,13,9,1
08-25 06:48:54,13,2,2
08-25 06:48:53,11,6,2
08-25 06:48:51,15,0,1
08-25 06:48:47,4,12,1
08-25 06:48:39,11,8,1
08-25 06:48:39,7,5,2
08-25 06:48:38,5,10,1
08-25 06:48:27,3,12,2
08-25 06:48:25,10,9,1
08-25 06:48:24,11,0,2
08-25 06:48:21,7,14,1
08-25 06:48:19,0,12,1
08-25 06:48:18,2,8,1
08-25 06:48:15,12,2,2
08-25 06:48:11,14,7,1
08-25 06:48:09,3,5,1
08-25 06:48:08,5,1,2
08-25 06:48:07,12,4,2
08-25 06:48:04,0,9,2
08-25 06:48:03,12,10,2
08-25 06:48:02,12,0,2
08-25 06:47:59,2,11,2
08-25 06:47:54,4,13,1
08-25 06:47:51,14,7,1
08-25 06:47:49,14,0,1
08-25 06:47:48,8,5,1
08-25 06:47:46,0,11,2
08-25 06:47:40,11,7,1
08-25 06:47:39,5,14,2
08-25 06:47:36,5,11,2
08-25 06:47:30,8,2,1
08-25 06:47:26,7,9,2
08-25 06:47:26,15,9,1
08-25 06:47:22,9,14,2
08-25 06:47:21,5,2,1
08-25 06:47:21,5,10,2
08-25 06:47:21,8,11,2
08-25 06:47:19,6,10,1
08-25 06:47:16,12,9,1
08-25 06:47:13,9,1,2
08-25 06:47:12,8,11,2
08-25 06:47:05,10,8,2
08-25 06:47:02,14,14,1
08-25 06:47:02,15,11,1
08-25 06:47:00,5,5,1
08-25 06:46:58,2,1,2
08-25 06:46:55,2,7,1
08-25 06:46:55,7,12,2
08-25 06:46:54,13,2,1
08-25 06:46:54,13,2,1
08-25 06:46:54,11,9,1
08-25 06:46:53,13,7,2
08-25 06:46:52,10,4,1
08-25 06:46:52,15,0,2
08-25 06:46:51,7,2,2
08-25 06:46:48,10,1,1
08-25 06:46:47,11,0,2
08-25 06:46:46,9,15,1
08-25 06:46:41,12,1,2
08-25 06:46:39,14,7,1
08-25 06:46:38,11,8,1
08-25 06:46:38,7,5,2
08-25 06:46:37,13,14,1
08-25 06:46:35,4,12,2
08-25 06:46:34,1,8,1
08-25 06:46:32,2,11,2
08-25 06:46:29,13,9,2
08-25 06:46:28,12,11,2
08-25 06:46:27,2,8,1
08-25 06:46:27,1,11,1
08-25 06:46:26,12,10,2
08-25 06:46:17,12,4,2
08-25 06:46:16,3,1,2
08-25 06:46:14,9,3,2
08-25 06:46:14,12,0,1
08-25 06:46:12,7,1,1
08-25 06:46:09,2,9,1
08-25 06:46:05,12,2,1
08-25 06:46:05,11,8,2
08-25 06:46:04,8,5,2
08-25 06:45:58,0,11,2
08-25 06:45:57,10,1,2
08-25 06:45:55,5,11,1
08-25 06:45:52,0,9,1
08-25 06:45:50,8,2,1
08-25 06:45:45,7,8,2
08-25 06:45:44,1,5,2
08-25 06:45:42,15,10,2
08-25 06:45:40,11,6,2
08-25 06:45:39,9,1,2
08-25 06:45:35,15,11,2
08-25 06:45:33,14,7,1
08-25 06:45:33,10,9,2
08-25 06:45:32,14,0,2
08-25 06:45:30,10,4,1
08-25 06:45:26,9,1,2
08-25 06:45:24,14,14,1
08-25 06:45:24,15,9,1
08-25 06:45:23,7,12,2
08-25 06:45:23,12,9,2
08-25 06:45:23,11,9,1
08-25 06:45:22,7,5,2
08-25 06:45:22,5,10,2
08-25 06:45:19,13,11,2
08-25 06:45:12,5,10,2
08-25 06:45:05,12,1,2
08-25 06:45:04,7,14,2
08-25 06:45:03,12,11,2
08-25 06:45:02,8,11,1
08-25 06:45:00,13,3,2
08-25 06:44:59,11,14,1
08-25 06:44:54,7,13,2
08-25 06:44:54,2,8,1
08-25 06:44:53,13,7,1
08-25 06:44:53,2,1,1
08-25 06:44:49,5,5,1
08-25 06:44:49,12,1,1
08-25 06:44:48,13,9,1
08-25 06:44:43,5,1,2
08-25 06:44:42,12,4,2
08-25 06:44:41,11,13,2
08-25 06:44:35,4,1,1
08-25 06:44:32,14,3,1
08-25 06:44:27,11,6,2
08-25 06:44:25,5,2,1
08-25 06:44:24,6,10,1
08-25 06:44:24,0,11,1
08-25 06:44:22,14,0,2
08-25 06:44:18,3,7,1
08-25 06:44:18,0,11,2
08-25 06:44:15,4,12,1
08-25 06:44:14,10,8,1
08-25 06:44:14,9,3,1
08-25 06:44:14,0,7,1
08-25 06:44:14,2,7,1
08-25 06:44:14,5,10,1
08-25 06:44:13,2,0,1
08-25 06:44:13,5,9,2
08-25 06:44:13,10,1,1
08-25 06:44:06,11,14,1
08-25 06:44:04,7,1,1
08-25 06:44:04,11,8,2
08-25 06:44:04,8,11,2
08-25 06:44:03,1,11,2
08-25 06:44:02,7,5,2
08-25 06:44:00,14,7,2
08-25 06:43:59,11,8,1
08-25 06:43:56,5,6,1
08-25 06:43:47,13,11,1
08-25 06:43:45,0,2,2
08-25 06:43:43,12,9,1
08-25 06:43:40,15,0,1
08-25 06:43:40,7,2,2
08-25 06:43:39,12,10,2
08-25 06:43:38,11,2,2
08-25 06:43:35,13,3,2
08-25 06:43:35,12,11,2
08-25 06:43:33,3,1,1
08-25 06:43:33,5,9,1
08-25 06:43:25,8,11,1
08-25 06:43:24,5,10,2
08-25 06:43:23,4,12,2
08-25 06:43:22,7,7,1
08-25 06:43:22,4,2,1
08-25 06:43:21,9,1,2
08-25 06:43:21,9,11,2
08-25 06:43:15,0,7,2
08-25 06:43:12,5,11,2
08-25 06:43:09,11,14,1
08-25 06:43:08,7,12,2
08-25 06:43:07,8,0,1
08-25 06:43:06,12,14,1
08-25 06:43:06,13,7,1
08-25 06:43:03,7,14,2
08-25 06:43:01,12,9,1
08-25 06:43:00,9,9,1
08-25 06:42:57,5,2,1
08-25 06:42:56,0,8,1
08-25 06:42:48,9,3,1
08-25 06:42:47,12,0,1
08-25 06:42:46,12,1,1
08-25 06:42:40,15,0,1
08-25 06:42:37,15,9,1
08-25 06:42:36,1,5,1
08-25 06:42:36,2,7,1
08-25 06:42:34,4,1,1
08-25 06:42:34,2,10,1
08-25 06:42:33,11,13,1
08-25 06:42:32,0,11,2
08-25 06:42:32,10,1,1
08-25 06:42:31,5,10,1
08-25 06:42:30,7,13,1
08-25 06:42:30,10,1,2
08-25 06:42:22,1,12,2
08-25 06:42:19,5,1,2
08-25 06:42:17,10,5,1
08-25 06:42:17,12,1,2
08-25 06:42:16,14,7,2
08-25 06:42:16,1,9,1
08-25 06:42:15,4,13,2
08-25 06:42:13,8,11,2
08-25 06:42:11,9,11,1
08-25 06:42:11,1,11,1
08-25 06:42:10,6,11,2
08-25 06:42:09,12,13,1
08-25 06:42:08,13,3,2
08-25 06:42:08,11,6,2
08-25 06:42:06,2,1,2
08-25 06:42:05,7,5,2
08-25 06:42:05,10,8,2
08-25 06:42:04,14,0,1
08-25 06:41:59,2,8,2
08-25 06:41:57,14,3,2
08-25 06:41:57,10,9,2
08-25 06:41:55,0,11,2
08-25 06:41:54,9,1,2
08-25 06:41:52,8,11,2
08-25 06:41:51,7,14,2
08-25 06:41:51,12,9,2
08-25 06:41:51,7,1,1
08-25 06:41:43,5,4,1
08-25 06:41:39,13,11,2
08-25 06:41:38,5,8,1
08-25 06:41:34,11,14,2
08-25 06:41:32,11,6,1
08-25 06:41:31,12,11,1
08-25 06:41:30,9,9,2
08-25 06:41:30,2,10,1
08-25 06:41:26,5,9,2
08-25 06:41:18,8,0,1
08-25 06:41:12,14,7,1
08-25 06:41:12,12,9,2
08-25 06:41:12,3,1,1
08-25 06:41:11,7,7,1
08-25 06:41:11,9,3,1
08-25 06:41:11,0,2,1
08-25 06:41:10,15,0,1
08-25 06:41:08,2,10,1
08-25 06:41:07,4,2,1
08-25 06:41:05,7,12,2
08-25 06:41:00,9,10,2
08-25 06:40:58,2,0,2
08-25 06:40:57,5,10,2
08-25 06:40:56,15,9,1
08-25 06:40:54,0,11,1
08-25 06:40:52,7,2,1
08-25 06:40:50,12,14,1
08-25 06:40:42,14,7,1
08-25 06:40:40,12,1,1
08-25 06:40:39,11,6,2
08-25 06:40:38,1,5,2
08-25 06:40:37,7,11,1
08-25 06:40:36,9,11,2
08-25 06:40:36,1,9,1
08-25 06:40:35,12,2,2
08-25 06:40:35,5,9,2
08-25 06:40:32,12,9,1
08-25 06:40:32,7,9,2
08-25 06:40:30,8,13,2
08-25 06:40:30,0,11,2
08-25 06:40:28,5,11,2
08-25 06:40:28,2,0,2
08-25 06:40:27,2,7,1
08-25 06:40:27,0,8,2
08-25 06:40:26,11,2,2
08-25 06:40:25,4,1,2
08-25 06:40:24,14,8,2
08-25 06:40:14,5,6,2
08-25 06:40:05,12,15,1
08-25 06:40:04,8,11,2
08-25 06:40:00,12,10,1
08-25 06:39:59,7,6,2
08-25 06:39:57,10,9,2
08-25 06:39:56,5,9,1
08-25 06:39:54,14,0,2
08-25 06:39:52,7,5,2
08-25 06:39:52,1,12,1
08-25 06:39:51,2,4,2
08-25 06:39:51,9,3,2
08-25 06:39:50,6,11,2
08-25 06:39:50,2,1,2
08-25 06:39:48,10,5,2
08-25 06:39:48,12,11,2
08-25 06:39:46,4,1,1
08-25 06:39:43,11,6,1
08-25 06:39:41,5,1,1
08-25 06:39:35,9,10,1
08-25 06:39:34,7,7,2
08-25 06:39:33,11,14,2
08-25 06:39:33,1,1,2
08-25 06:39:32,2,0,2
08-25 06:39:29,2,8,2
08-25 06:39:28,7,13,2
08-25 06:39:28,5,4,2
08-25 06:39:25,13,0,1
08-25 06:39:24,4,2,2
08-25 06:39:23,0,3,2
08-25 06:39:23,10,8,2
08-25 06:39:21,12,14,1
08-25 06:39:19,11,7,2
08-25 06:39:18,9,9,2
08-25 06:39:16,9,1,1
08-25 06:39:11,12,13,2
08-25 06:39:09,0,11,2
08-25 06:39:07,7,3,1
08-25 06:39:07,5,11,1
08-25 06:39:03,2,7,2
08-25 06:39:03,7,11,2
08-25 06:39:01,10,1,2
08-25 06:38:58,5,9,1
08-25 06:38:55,2,10,2
08-25 06:38:53,0,2,2
08-25 06:38:52,14,7,2
08-25 06:38:50,8,0,1
08-25 06:38:47,3,14,2
08-25 06:38:44,3,1,2
08-25 06:38:43,8,6,1
08-25 06:38:42,5,9,1
08-25 06:38:42,10,9,2
08-25 06:38:37,5,11,2
08-25 06:38:36,0,8,1
08-25 06:38:34,12,0,1
08-25 06:38:34,1,9,1
08-25 06:38:32,12,11,2
08-25 06:38:30,12,1,2
08-25 06:38:30,8,13,1
08-25 06:38:28,12,15,1
08-25 06:38:27,4,1,2
08-25 06:38:25,9,13,2
08-25 06:38:21,5,8,1
08-25 06:38:18,7,9,2
08-25 06:38:17,5,10,2
08-25 06:38:15,14,7,1
08-25 06:38:09,1,11,1
08-25 06:38:08,2,1,2
08-25 06:38:08,7,5,2
08-25 06:38:04,12,2,1
08-25 06:38:00,9,10,2
08-25 06:37:57,8,11,2
08-25 06:37:52,15,9,1
08-25 06:37:51,5,9,2
08-25 06:37:51,2,8,2
08-25 06:37:51,7,12,2
08-25 06:37:51,14,8,2
08-25 06:37:46,7,3,2
08-25 06:37:41,6,11,2
08-25 06:37:40,7,2,2
08-25 06:37:39,9,3,1
08-25 06:37:38,1,2,1
08-25 06:37:33,14,0,2
08-25 06:37:32,12,9,1
08-25 06:37:32,11,6,1
08-25 06:37:30,4,15,1
08-25 06:37:30,12,15,1
08-25 06:37:30,11,5,2
08-25 06:37:26,14,2,2
08-25 06:37:25,1,1,1
08-25 06:37:25,9,1,2
08-25 06:37:22,4,14,1
08-25 06:37:21,7,6,2
08-25 06:37:19,0,11,2
08-25 06:37:18,2,0,2
08-25 06:37:15,4,14,1
08-25 06:37:10,5,4,2
08-25 06:37:08,11,12,1
08-25 06:37:07,2,0,1
08-25 06:37:07,10,9,2
08-25 06:37:05,12,1,2
08-25 06:37:05,13,0,2
08-25 06:37:05,2,4,1
08-25 06:37:05,10,5,1
08-25 06:37:05,7,11,1
08-25 06:37:01,12,13,2
08-25 06:37:00,0,11,1
08-25 06:36:57,11,7,1
08-25 06:36:54,12,13,1
08-25 06:36:50,10,1,1
08-25 06:36:50,7,0,1
08-25 06:36:46,5,9,1
08-25 06:36:45,14,13,1
08-25 06:36:42,5,1,1
08-25 06:36:41,11,8,1
08-25 06:36:40,5,8,2
08-25 06:36:36,1,11,1
08-25 06:36:35,14,7,2
08-25 06:36:34,2,10,1
08-25 06:36:30,11,1,1
08-25 06:36:30,12,14,2
08-25 06:36:29,7,9,2
08-25 06:36:27,5,11,2
08-25 06:36:26,8,11,1
08-25 06:36:26,8,11,1
08-25 06:36:25,3,12,1
08-25 06:36:24,11,6,1
08-25 06:36:23,0,8,2
08-25 06:36:22,2,7,1
08-25 06:36:22,7,11,2
08-25 06:36:21,6,8,2
08-25 06:36:16,0,14,1
08-25 06:36:16,10,10,2
08-25 06:36:12,14,0,2
08-25 06:36:12,3,1,1
08-25 06:36:12,13,9,1
08-25 06:36:11,5,8,1
08-25 06:36:10,5,9,2
08-25 06:36:08,12,15,1
08-25 06:36:06,11,6,2
08-25 06:36:05,4,1,1
08-25 06:36:05,9,1,1
08-25 06:36:05,7,7,1
08-25 06:36:04,7,6,2
08-25 06:36:03,12,13,1
08-25 06:36:03,3,14,1
08-25 06:36:02,5,11,1
08-25 06:36:01,9,11,1
08-25 06:35:59,9,1,2
08-25 06:35:59,12,10,2
08-25 06:35:56,0,2,2
08-25 06:35:56,11,10,2
08-25 06:35:55,4,14,2
08-25 06:35:55,12,11,2
08-25 06:35:54,14,7,2
08-25 06:35:51,12,0,1
08-25 06:35:51,4,14,1
08-25 06:35:47,10,9,2
08-25 06:35:47,4,15,1
08-25 06:35:45,2,8,2
08-25 06:35:40,9,3,1
08-25 06:35:37,11,5,2
08-25 06:35:36,2,1,1
08-25 06:35:32,10,9,1
08-25 06:35:32,12,2,2
08-25 06:35:32,4,8,2
08-25 06:35:30,7,3,1
08-25 06:35:30,14,2,2
08-25 06:35:28,12,9,1
08-25 06:35:19,9,13,2
08-25 06:35:17,5,1,1
08-25 06:35:16,5,8,2
08-25 06:35:15,15,9,1
08-25 06:35:14,11,1,1
08-25 06:35:05,7,11,2
08-25 06:35:03,1,2,2
08-25 06:35:01,1,1,2
08-25 06:34:59,0,11,2
08-25 06:34:55,11,6,2
08-25 06:34:54,2,4,1
08-25 06:34:51,1,5,2
08-25 06:34:50,5,11,1
08-25 06:34:45,11,7,1
08-25 06:34:40,8,5,1
