date,p1CharCode,p2CharCode,winner
08-25 17:31:31,1,2,2
08-25 17:31:31,6,11,2
08-25 17:31:31,9,9,2
08-25 17:31:30,2,15,2
08-25 17:31:30,4,5,2
08-25 17:31:27,14,1,2
08-25 17:31:26,14,5,2
08-25 17:31:25,0,0,2
08-25 17:31:23,7,11,1
08-25 17:31:23,1,7,2
08-25 17:31:22,15,0,1
08-25 17:31:22,0,8,2
08-25 17:31:20,3,2,1
08-25 17:31:19,2,8,2
08-25 17:31:19,9,3,2
08-25 17:31:18,13,15,1
08-25 17:31:16,11,1,1
08-25 17:31:14,4,11,1
08-25 17:31:12,3,11,2
08-25 17:31:10,11,12,2
08-25 17:31:08,1,2,2
08-25 17:31:08,14,15,2
08-25 17:31:06,4,0,2
08-25 17:31:06,11,13,1
08-25 17:31:06,11,0,2
08-25 17:31:06,3,0,1
08-25 17:31:05,6,0,1
08-25 17:31:05,9,3,2
08-25 17:31:03,8,5,2
08-25 17:31:02,12,9,1
08-25 17:30:58,1,8,1
08-25 17:30:57,13,6,1
08-25 17:30:56,9,7,1
08-25 17:30:55,11,10,1
08-25 17:30:55,12,2,2
08-25 17:30:51,5,12,2
08-25 17:30:51,1,12,2
08-25 17:30:50,11,8,1
08-25 17:30:48,10,6,2
08-25 17:30:48,10,6,2
08-25 17:30:47,2,1,1
08-25 17:30:47,6,10,1
08-25 17:30:45,11,7,2
08-25 17:30:44,13,0,1
08-25 17:30:42,9,0,2
08-25 17:30:41,3,0,1
08-25 17:30:39,9,3,2
08-25 17:30:38,14,0,1
08-25 17:30:38,2,3,2
08-25 17:30:38,0,10,2
08-25 17:30:37,0,6,2
08-25 17:30:37,12,5,2
08-25 17:30:36,6,10,1
08-25 17:30:36,1,8,1
08-25 17:30:33,13,8,2
08-25 17:30:32,1,11,1
08-25 17:30:29,4,11,2
08-25 17:30:26,3,4,2
08-25 17:30:22,11,7,2
08-25 17:30:22,11,5,1
08-25 17:30:19,15,9,1
08-25 17:30:17,12,11,1
08-25 17:30:17,10,11,2
08-25 17:30:17,9,2,1
08-25 17:30:16,8,5,1
08-25 17:30:14,11,9,1
08-25 17:30:12,4,2,1
08-25 17:30:10,5,1,1
08-25 17:30:10,11,2,2
08-25 17:30:09,14,5,2
08-25 17:30:00,0,1,1
08-25 17:29:59,0,13,2
08-25 17:29:58,11,13,2
08-25 17:29:56,4,0,2
08-25 17:29:54,12,14,2
08-25 17:29:53,9,5,2
08-25 17:29:52,5,15,2
08-25 17:29:52,14,4,2
08-25 17:29:52,13,11,1
08-25 17:29:49,11,1,2
08-25 17:29:49,1,7,1
08-25 17:29:48,2,12,2
08-25 17:29:46,12,3,2
08-25 17:29:46,12,1,1
08-25 17:29:44,11,0,2
08-25 17:29:43,15,4,1
08-25 17:29:41,4,11,1
08-25 17:29:41,3,2,1
08-25 17:29:40,11,2,1
08-25 17:29:39,3,3,1
08-25 17:29:39,0,1,1
08-25 17:29:37,3,4,2
08-25 17:29:36,12,5,2
08-25 17:29:30,9,10,1
08-25 17:29:29,14,8,1
08-25 17:29:28,10,11,1
08-25 17:29:24,1,7,2
08-25 17:29:24,6,0,2
08-25 17:29:22,2,1,1
08-25 17:29:20,4,0,1
08-25 17:29:20,11,0,1
08-25 17:29:20,7,11,1
08-25 17:29:18,10,1,2
08-25 17:29:17,13,6,1
08-25 17:29:15,12,2,2
08-25 17:29:15,10,13,1
08-25 17:29:13,1,9,1
08-25 17:29:12,2,15,2
08-25 17:29:12,15,9,1
08-25 17:29:09,14,9,2
08-25 17:29:06,15,0,1
08-25 17:29:06,11,5,2
08-25 17:29:04,11,1,1
08-25 17:29:01,1,10,1
08-25 17:29:01,13,7,2
08-25 17:29:01,8,5,1
08-25 17:29:00,4,11,2
08-25 17:29:00,9,3,2
08-25 17:28:58,9,0,2
08-25 17:28:57,12,1,1
08-25 17:28:54,13,15,2
08-25 17:28:54,11,8,2
08-25 17:28:53,6,10,1
08-25 17:28:53,10,0,2
08-25 17:28:53,1,2,2
08-25 17:28:52,1,11,1
08-25 17:28:51,1,2,2
08-25 17:28:49,8,5,2
08-25 17:28:49,5,6,2
08-25 17:28:45,9,3,2
08-25 17:28:45,6,10,2
08-25 17:28:44,9,9,2
08-25 17:28:43,1,2,1
08-25 17:28:43,13,8,2
08-25 17:28:42,10,11,1
08-25 17:28:42,2,1,1
08-25 17:28:42,2,3,2
08-25 17:28:41,11,10,2
08-25 17:28:40,0,8,1
08-25 17:28:40,4,0,2
08-25 17:28:38,12,11,2
08-25 17:28:38,5,1,1
08-25 17:28:37,5,12,2
08-25 17:28:37,13,12,2
08-25 17:28:37,0,1,2
08-25 17:28:36,6,14,2
08-25 17:28:35,7,10,2
08-25 17:28:31,0,6,1
08-25 17:28:30,4,10,2
08-25 17:28:29,15,8,1
08-25 17:28:29,11,5,1
08-25 17:28:28,13,0,2
08-25 17:28:27,3,0,1
08-25 17:28:26,2,8,2
08-25 17:28:25,9,7,2
08-25 17:28:22,9,3,1
08-25 17:28:22,10,11,2
08-25 17:28:21,11,8,1
08-25 17:28:20,11,7,2
08-25 17:28:19,12,11,2
08-25 17:28:18,5,15,2
08-25 17:28:18,11,2,1
08-25 17:28:18,11,2,1
08-25 17:28:15,1,7,1
08-25 17:28:08,11,9,1
08-25 17:28:08,11,9,1
08-25 17:28:08,9,7,1
08-25 17:28:05,5,11,2
08-25 17:28:04,10,6,1
08-25 17:28:03,4,11,1
08-25 17:28:01,9,5,1
08-25 17:28:01,0,13,1
08-25 17:27:59,2,12,2
08-25 17:27:58,1,12,2
08-25 17:27:58,1,12,2
08-25 17:27:58,9,10,1
08-25 17:27:56,14,4,2
08-25 17:27:54,14,0,2
08-25 17:27:54,3,2,1
08-25 17:27:51,2,15,1
08-25 17:27:51,15,4,2
08-25 17:27:50,4,0,1
08-25 17:27:48,3,4,1
08-25 17:27:48,0,10,1
08-25 17:27:44,3,4,2
08-25 17:27:42,10,13,1
08-25 17:27:41,1,7,1
08-25 17:27:39,14,9,1
08-25 17:27:37,4,0,2
08-25 17:27:34,11,7,2
08-25 17:27:33,12,11,2
08-25 17:27:33,4,11,1
08-25 17:27:31,9,2,1
08-25 17:27:31,2,5,2
08-25 17:27:28,1,5,2
08-25 17:27:26,4,2,2
08-25 17:27:25,3,14,2
08-25 17:27:24,12,14,2
08-25 17:27:22,13,11,2
08-25 17:27:21,11,13,1
08-25 17:27:19,15,9,1
08-25 17:27:19,4,11,1
08-25 17:27:19,14,5,2
08-25 17:27:16,11,0,1
08-25 17:27:15,1,9,1
08-25 17:27:13,8,5,1
08-25 17:27:11,9,3,2
08-25 17:27:08,1,10,1
08-25 17:27:07,15,0,2
08-25 17:27:07,13,15,1
08-25 17:27:06,2,0,1
08-25 17:27:04,11,2,1
08-25 17:27:04,11,1,2
08-25 17:27:03,6,10,2
08-25 17:27:03,2,1,1
08-25 17:27:00,7,10,1
08-25 17:26:59,12,5,2
08-25 17:26:58,14,8,1
08-25 17:26:56,11,0,2
08-25 17:26:55,15,8,1
08-25 17:26:55,12,11,1
08-25 17:26:54,12,2,2
08-25 17:26:54,11,5,2
08-25 17:26:51,6,0,1
08-25 17:26:51,11,8,1
08-25 17:26:49,9,0,1
08-25 17:26:47,1,2,1
08-25 17:26:46,12,1,1
08-25 17:26:44,7,11,1
08-25 17:26:44,11,7,2
08-25 17:26:41,9,10,2
08-25 17:26:41,13,0,1
08-25 17:26:40,2,15,2
08-25 17:26:40,12,7,2
08-25 17:26:39,9,9,2
08-25 17:26:39,10,4,1
08-25 17:26:38,13,7,2
08-25 17:26:34,15,4,2
08-25 17:26:32,10,0,2
08-25 17:26:22,0,11,2
08-25 17:26:21,14,5,2
08-25 17:26:21,10,1,1
08-25 17:26:18,9,7,1
08-25 17:26:17,4,10,2
08-25 17:26:16,4,1,2
08-25 17:26:15,2,12,1
08-25 17:26:15,2,12,1
08-25 17:26:13,5,2,1
08-25 17:26:13,12,1,1
08-25 17:26:12,14,5,2
08-25 17:26:11,1,2,2
08-25 17:26:08,5,6,1
08-25 17:26:08,3,0,2
08-25 17:26:06,9,5,2
08-25 17:26:04,5,11,2
08-25 17:26:03,14,0,1
08-25 17:26:03,4,0,2
08-25 17:26:03,3,12,1
08-25 17:26:02,1,12,1
08-25 17:26:02,11,5,1
08-25 17:26:01,10,11,2
08-25 17:26:00,11,0,1
08-25 17:25:59,1,7,2
08-25 17:25:55,1,6,2
08-25 17:25:51,1,5,1
08-25 17:25:50,0,6,2
08-25 17:25:50,13,9,2
08-25 17:25:49,10,6,1
08-25 17:25:48,11,10,2
08-25 17:25:46,4,0,2
08-25 17:25:44,11,12,1
08-25 17:25:43,11,9,1
08-25 17:25:41,13,6,2
08-25 17:25:40,6,14,2
08-25 17:25:39,0,8,1
08-25 17:25:37,3,1,2
08-25 17:25:37,2,1,1
08-25 17:25:34,10,11,2
08-25 17:25:32,11,7,1
08-25 17:25:29,13,8,2
08-25 17:25:28,4,0,2
08-25 17:25:28,5,12,2
08-25 17:25:24,1,8,1
08-25 17:25:21,8,5,1
08-25 17:25:21,10,13,1
08-25 17:25:20,3,4,1
08-25 17:25:20,2,5,1
08-25 17:25:20,4,11,2
08-25 17:25:17,11,0,1
08-25 17:25:16,14,9,1
08-25 17:25:12,3,4,2
08-25 17:25:11,1,14,1
08-25 17:25:09,2,15,1
08-25 17:25:06,3,10,1
08-25 17:25:05,1,7,1
08-25 17:25:04,15,8,1
08-25 17:25:04,2,15,1
08-25 17:25:03,12,7,2
08-25 17:25:02,15,13,1
08-25 17:25:01,5,15,1
08-25 17:24:59,11,1,1
08-25 17:24:58,11,13,1
08-25 17:24:57,14,8,1
08-25 17:24:55,7,11,1
08-25 17:24:55,9,2,2
08-25 17:24:54,1,10,1
08-25 17:24:52,9,0,1
08-25 17:24:50,5,2,2
08-25 17:24:50,12,11,2
08-25 17:24:50,6,14,2
08-25 17:24:49,9,7,1
08-25 17:24:48,11,0,1
08-25 17:24:47,12,5,2
08-25 17:24:46,11,7,1
08-25 17:24:46,0,13,2
08-25 17:24:46,4,11,1
08-25 17:24:46,3,14,1
08-25 17:24:43,15,2,2
08-25 17:24:36,5,6,2
08-25 17:24:35,10,11,1
08-25 17:24:34,0,11,2
08-25 17:24:34,13,10,2
08-25 17:24:31,7,10,1
08-25 17:24:31,10,0,2
08-25 17:24:31,0,2,1
08-25 17:24:31,7,7,2
08-25 17:24:29,4,2,1
08-25 17:24:27,10,4,1
08-25 17:24:27,9,0,2
08-25 17:24:27,6,0,1
08-25 17:24:27,13,1,1
08-25 17:24:27,13,9,2
08-25 17:24:22,11,5,2
08-25 17:24:22,11,2,1
08-25 17:24:21,1,9,2
08-25 17:24:20,11,5,2
08-25 17:24:18,0,9,1
08-25 17:24:17,6,14,2
08-25 17:24:13,1,5,1
08-25 17:24:11,5,11,2
08-25 17:24:11,11,9,1
08-25 17:24:10,0,0,2
08-25 17:24:09,0,10,2
08-25 17:24:09,2,15,2
08-25 17:24:08,2,9,2
08-25 17:24:04,4,0,2
08-25 17:24:02,11,12,2
08-25 17:23:59,14,5,2
08-25 17:23:55,9,1,2
08-25 17:23:54,13,10,1
08-25 17:23:54,1,13,1
08-25 17:23:48,4,10,1
08-25 17:23:45,11,8,1
08-25 17:23:45,7,11,1
08-25 17:23:44,4,0,2
08-25 17:23:42,14,4,2
08-25 17:23:41,11,9,2
08-25 17:23:41,12,1,1
08-25 17:23:40,13,6,1
08-25 17:23:37,4,3,2
08-25 17:23:37,11,0,2
08-25 17:23:32,9,2,2
08-25 17:23:31,11,13,2
08-25 17:23:30,3,0,2
08-25 17:23:30,12,5,2
08-25 17:23:29,12,1,1
08-25 17:23:29,11,10,1
08-25 17:23:29,6,10,1
08-25 17:23:28,15,13,1
08-25 17:23:27,7,11,1
08-25 17:23:27,5,12,2
08-25 17:23:26,9,4,2
08-25 17:23:24,1,8,2
08-25 17:23:23,4,0,2
08-25 17:23:22,4,11,2
08-25 17:23:21,1,14,1
08-25 17:23:21,1,12,2
08-25 17:23:19,3,1,2
08-25 17:23:15,9,0,2
08-25 17:23:14,10,11,1
08-25 17:23:13,3,12,1
08-25 17:23:11,1,7,1
08-25 17:23:11,3,9,1
08-25 17:23:09,2,1,1
08-25 17:23:09,1,7,2
08-25 17:23:08,10,13,1
08-25 17:23:07,11,0,1
08-25 17:23:07,0,10,2
08-25 17:23:06,12,11,2
08-25 17:22:58,13,8,2
08-25 17:22:58,12,5,1
08-25 17:22:57,1,6,1
08-25 17:22:57,2,9,2
08-25 17:22:56,3,4,1
08-25 17:22:55,10,0,2
08-25 17:22:51,0,11,1
08-25 17:22:44,11,1,1
08-25 17:22:43,11,11,2
08-25 17:22:43,3,10,1
08-25 17:22:43,12,9,1
08-25 17:22:42,15,8,1
08-25 17:22:41,5,15,2
08-25 17:22:40,4,1,2
08-25 17:22:35,15,0,2
08-25 17:22:35,15,13,2
08-25 17:22:33,9,1,1
08-25 17:22:29,11,0,2
08-25 17:22:28,10,4,1
08-25 17:22:28,4,2,1
08-25 17:22:28,6,14,2
08-25 17:22:27,7,12,1
08-25 17:22:26,11,7,2
08-25 17:22:26,12,5,2
08-25 17:22:25,14,2,1
08-25 17:22:24,14,8,2
08-25 17:22:24,9,2,1
08-25 17:22:23,1,10,1
08-25 17:22:20,15,2,1
08-25 17:22:20,0,13,2
08-25 17:22:20,0,9,2
08-25 17:22:20,13,1,2
08-25 17:22:20,7,7,1
08-25 17:22:19,4,11,1
08-25 17:22:18,9,0,2
08-25 17:22:17,7,11,2
08-25 17:22:14,10,11,2
08-25 17:22:12,5,2,1
08-25 17:22:12,5,2,2
08-25 17:22:10,5,11,2
08-25 17:22:07,9,3,2
08-25 17:22:06,14,12,2
08-25 17:22:06,11,4,2
08-25 17:22:05,0,0,2
08-25 17:22:03,15,2,2
08-25 17:22:01,14,7,1
08-25 17:21:58,11,2,1
08-25 17:21:57,11,13,1
08-25 17:21:56,6,0,1
08-25 17:21:55,3,4,2
08-25 17:21:54,11,8,1
08-25 17:21:52,11,9,2
08-25 17:21:52,14,1,2
08-25 17:21:51,12,14,1
08-25 17:21:51,1,1,1
08-25 17:21:50,15,2,1
08-25 17:21:49,14,6,2
08-25 17:21:48,3,9,1
08-25 17:21:47,9,13,1
08-25 17:21:47,10,8,1
08-25 17:21:45,11,13,1
08-25 17:21:44,11,2,1
08-25 17:21:44,0,2,2
08-25 17:21:43,5,1,1
08-25 17:21:41,9,4,2
08-25 17:21:40,7,10,2
08-25 17:21:39,13,6,1
08-25 17:21:36,7,11,1
08-25 17:21:35,2,15,1
08-25 17:21:35,4,3,2
08-25 17:21:34,1,9,2
08-25 17:21:34,13,10,2
08-25 17:21:31,3,2,2
08-25 17:21:30,2,9,2
08-25 17:21:30,0,10,2
08-25 17:21:25,11,5,1
08-25 17:21:24,10,13,1
08-25 17:21:22,10,0,2
08-25 17:21:21,7,4,2
08-25 17:21:20,3,12,1
08-25 17:21:20,3,0,2
08-25 17:21:20,12,1,1
08-25 17:21:20,12,1,1
08-25 17:21:19,2,1,2
08-25 17:21:19,14,5,2
08-25 17:21:18,6,1,2
08-25 17:21:11,12,11,2
08-25 17:21:09,15,8,1
08-25 17:21:08,6,10,1
08-25 17:21:08,11,12,1
08-25 17:21:08,1,7,1
08-25 17:21:07,9,0,2
08-25 17:21:07,11,10,2
08-25 17:21:03,12,5,1
08-25 17:21:03,9,1,1
08-25 17:20:59,4,10,2
08-25 17:20:58,12,14,2
08-25 17:20:58,1,14,1
08-25 17:20:58,5,2,1
08-25 17:20:55,7,12,2
08-25 17:20:51,7,7,1
08-25 17:20:48,3,10,1
08-25 17:20:48,1,8,1
08-25 17:20:46,13,8,2
08-25 17:20:46,5,15,1
08-25 17:20:45,6,0,1
08-25 17:20:45,11,11,2
08-25 17:20:45,4,0,2
08-25 17:20:42,4,2,2
08-25 17:20:41,11,9,2
08-25 17:20:39,11,9,2
08-25 17:20:39,3,1,2
08-25 17:20:38,9,2,1
08-25 17:20:36,4,11,1
08-25 17:20:33,11,4,2
08-25 17:20:29,12,9,2
08-25 17:20:28,12,14,2
08-25 17:20:28,0,2,1
08-25 17:20:24,7,12,1
08-25 17:20:24,12,5,2
08-25 17:20:23,1,6,1
08-25 17:20:20,11,1,2
